Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [AUSENTE],Chubut [EMPATE],Cordoba [NEGATIVO],Corrientes [NEGATIVO],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [EMPATE],La Pampa [POSITIVO],La Rioja [EMPATE],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [EMPATE],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [AUSENTE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [POSITIVO],Mendoza [EMPATE],Misiones[POSITIVO],Neuquen [POSITIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [EMPATE],Santiago del Estero [AUSENTE],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [NEGATIVO],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [EMPATE],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [NEGATIVO],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [EMPATE],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [AUSENTE],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [AUSENTE],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [EMPATE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [EMPATE],Salta [POSITIVO],San Juan [POSITIVO],San Luis [EMPATE],Santa Cruz [NEGATIVO],Santa Fe [EMPATE],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [AUSENTE],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [EMPATE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [EMPATE],Salta [POSITIVO],San Juan [POSITIVO],San Luis [EMPATE],Santa Cruz [NEGATIVO],Santa Fe [EMPATE],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [NEGATIVO],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [EMPATE],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [AUSENTE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [EMPATE],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [AUSENTE],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [AUSENTE],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [AUSENTE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [EMPATE],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [AUSENTE],Entre Rios [NEGATIVO],Formosa [EMPATE],Jujuy [NEGATIVO],La Pampa [EMPATE],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [EMPATE],Salta [POSITIVO],San Juan [POSITIVO],San Luis [EMPATE],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [AUSENTE],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
